Country,Age,Salary,Education,Experience,Purchased
France,44,72000,Master,16,No
Spain,27,48000,Bachelor,5,Yes
Germany,30,54000,Bachelor,8,No
Spain,38,61000,Master,12,No
Germany,40,,PhD,10,Yes
France,35,58000,Bachelor,13,Yes
Spain,,52000,Bachelor,7,No
France,48,79000,Master,22,Yes
Germany,50,83000,PhD,20,No
France,37,67000,Master,11,Yes
USA,32,56000,Bachelor,10,No
Canada,,59000,Master,9,Yes
UK,29,51000,Bachelor,7,No
USA,45,250000,PhD,15,Yes
France,,62000,Master,14,No
Germany,33,57000,Bachelor,11,Yes
Spain,41,69000,Master,17,No
UK,,55000,Bachelor,8,Yes
Canada,36,63000,Master,12,No
USA,28,480000,PhD,2,Yes
France,39,65000,Bachelor,17,Yes
Germany,,58000,Master,10,No
Spain,34,60000,Bachelor,12,Yes
UK,46,75000,PhD,18,No
USA,,53000,Bachelor,6,Yes
Canada,31,54000,Bachelor,9,No
France,42,68000,Master,16,Yes
Germany,26,47000,HighSchool,8,No
Spain,,61000,Master,11,Yes
UK,35,320000,Bachelor,13,No
USA,47,78000,PhD,21,Yes
Canada,,64000,Master,15,No
France,30,52000,Bachelor,8,Yes
Germany,38,66000,Master,14,No
Spain,43,71000,PhD,17,Yes
UK,,57000,Bachelor,9,No
USA,33,55000,Bachelor,11,Yes
Canada,40,67000,Master,16,No
France,,59000,Bachelor,10,Yes
Germany,29,50000,HighSchool,11,No
Spain,36,62000,Master,12,Yes
UK,44,73000,PhD,18,No
USA,,390000,Bachelor,5,Yes
Canada,32,56000,Bachelor,10,No
France,37,64000,Master,13,Yes
Germany,,60000,Bachelor,12,No
Spain,28,49000,HighSchool,10,Yes
UK,41,68000,Master,17,No
USA,45,76000,PhD,19,Yes
Canada,,58000,Bachelor,11,No
