employee_id,age,experience,education,department,city,performance_score,nb_projects,hours_per_week,team_size,certification,satisfaction,salary
1,29.69742381627559,10.575987924927968,Doctorat,IT,Lyon,3.7849513950911313,5,41.401959855566574,10,Yes,67.08847316003752,64500.0
2,27.071271677376558,17.458362625457458,Licence,Ventes,Paris,5.468099199744233,3,41.81020072929526,10,nan,50.738364328892445,68200.0
3,33.929696400454425,6.378980849297395,,IT,Toulouse,8.71108407873212,4,40.716719412979444,9,nan,79.73486633938279,65400.0
4,24.647576775806257,19.86543208129906,Licence,IT,Paris,5.971980387719789,10,34.35688501493652,7,No,55.44247993424707,70000.0
5,29.463506946528177,,Licence,IT,Marseille,7.828704706402579,3,42.33913362617979,6,Oui,41.33737815372996,67000.0
6,23.021221074111516,7.460130076922386,Master,IT,nan,6.845014285644255,2,50.40634814383361,9,Non,75.50097627489423,68300.0
7,54.64725132916389,6.881482350194597,Master,Marketing,Nice,9.657803601812017,6,41.22948413456452,8,Non,6.420316461542877,71300.0
8,,20.173691339823904,Licence,IT,Marseille,4.830418359404432,4,25.234624496743653,5,1,49.74108736738769,67000.0
9,28.002744920074143,21.057005020114985,Master,IT,Lyon,8.33270082877822,4,46.204397860234515,9,0,91.72522213941028,77100.0
10,,6.339979809927122,Master,RH,Marseille,9.124371957908748,8,36.486261116503066,5,Non,92.46607173514231,59300.0
11,33.8767195030917,,Licence,Marketing,Marseille,4.978371684248001,5,51.32856345247846,9,Non,0.8413996499504883,54000.0
12,32.79030400466777,8.02750773797645,,IT,lyon,7.674305365372019,4,40.5818172568298,7,Oui,90.31754146212467,66900.0
13,41.14166700043425,0.58884642276006,,IT,Paris,5.051753021256417,7,31.576496530070873,16,Non,60.358728514049446,58700.0
14,42.57507710047305,,Master,Ventes,Nice,6.545242358802687,4,29.676512550206237,6,Non,40.85011390908771,65600.0
15,29.694988523894725,2.9710146327355247,Licence,Ventes,lyon,6.11511810472674,2,47.698703813379396,7,Oui,91.0575209423249,45100.0
16,29.2418175935532,4.625417044271101,Master,Marketing,paris,2.8958690976504693,2,45.52952492958636,6,Non,63.55012815745229,55400.0
17,32.24948302848356,9.757205788292532,Bac,Ventes,Lyon,7.136351389567848,3,51.13009442883345,6,0,93.16601504740183,54600.0
18,22.0,11.639503127755646,Bac,IT,Lyon,6.715008751409346,3,40.05462242786778,10,non,92.9990987399089,57700.0
19,22.0,20.853503449698536,Licence,Marketing,Nice,8.71861846010864,8,39.7173505831016,10,Oui,86.9155200507048,71800.0
20,48.66874267444525,3.011521714828463,Licence,Ventes,Toulouse,7.416715481974314,6,38.08640603920721,9,Oui,56.19468906382721,59200.0
21,51.449677135012834,16.890256789336085,Doctorat,RH,Toulouse,9.936325886118144,0,100.0,10,Non,61.18037507310589,83800.0
22,32.50963960443622,8.502078090421437,Master,IT,Paris,6.660563573118071,8,38.03785222771092,10,Non,1.6162871409461377,67400.0
23,,9.65375403243297,Master,Finance,Lyon,6.341704921996539,5,41.08731666162015,8,Non,86.81251693342713,68000.0
24,38.112501545435364,14.723736445166226,Licence,IT,Marseille,6.223465023924357,4,35.78049606543949,8,OUI,57.430710283595275,66200.0
25,,2.1409458490639093,Licence,Marketing,Paris,5.840616933452339,5,31.65355326563008,7,non,49.32210106773509,51300.0
26,46.195749114345766,12.676868223288354,Licence,RH,Lyon,3.1883736254261468,7,40.79938317007089,8,1,70.62406943520926,58000.0
27,33.72082408519233,11.165165457491392,,Ventes,Toulouse,6.169708059488063,6,35.66902200653284,5,Non,91.48851257884294,56200.0
28,25.444595593995743,13.447158848057043,Bac,RH,Paris,3.3982179103460117,3,25.0,8,0,78.28163881712351,45800.0
29,22.0,,Doctorat,Finance,Marseille,7.178050016878653,4,42.76283695328505,9,Non,71.35336435491507,78500.0
30,37.03463635867223,27.18710097937626,Master,RH,PARIS,4.6399095612941235,2,34.45970480941486,9,Oui,8.985541885270793,72800.0
31,27.436492547156966,5.535820110240788,Licence,Marketing,Paris,5.15850106536737,4,43.308947273453676,8,non,45.34470715739227,54400.0
32,22.0,6.283021314987277,Master,Finance,Lyon,5.4958847077511725,1,43.18924053257991,12,non,73.82539746845433,61100.0
33,28.534271157574736,,Licence,Ventes,nan,6.192597443280132,9,41.41795005761416,6,nan,6.0642905965958995,59500.0
34,24.18451996385605,6.1116601658782175,Doctorat,Ventes,Nice,6.510302382408556,3,52.48408920178248,2,1,94.45296175573448,71700.0
35,,5.538290108854376,Doctorat,RH,nan,8.126719374609607,1,39.30974075013811,7,nan,47.70462083800882,67000.0
36,43.816397569494505,18.323115717752863,Licence,IT,Marseille,5.633704859738669,5,38.571802162507055,10,nan,68.50813088000552,78300.0
37,,,Licence,Marketing,Paris,7.220219204333555,4,43.41836210708458,6,Yes,88.25551895603755,62100.0
38,49.79944138890026,6.004775943753666,Master,Finance,Marseille,10.0,6,39.722763189431035,9,OUI,0.09197051616629648,78300.0
39,35.77368307647618,4.173510988270399,Doctorat,IT,Marseille,7.066026054144845,5,45.80246768697005,11,non,80.74227397648124,80100.0
40,,13.299908894704828,Licence,Ventes,Nice,6.229265316602549,8,33.65597046212239,13,nan,78.33586575473973,63400.0
41,,6.1344386900332015,Master,Marketing,Paris,5.331272522107554,5,33.7391277626783,6,1,1.014715428660321,65200.0
42,40.38910043684659,14.430522724288576,Master,IT,Marseille,6.208502681869508,7,43.82904745663109,5,Oui,78.63662461929101,77400.0
43,24.627538456735437,11.420461145959099,Master,Marketing,paris,5.170669484585892,4,34.17594530330698,12,1,6.635017691080558,60700.0
44,33.09661321916392,0.0,Bac,IT,Lyon,6.902992140025659,1,43.04549303221357,9,Oui,59.77201331708653,52300.0
45,26.24381746615243,20.832536409310432,Master,Marketing,Toulouse,6.65531620795909,5,41.85001423105183,16,Non,56.14755143454714,70500.0
