client_id,age,anciennete_mois,nb_achats,montant_total,panier_moyen,jours_depuis_dernier_achat,nb_pages_vues,taux_conversion,taux_retour
C0001,60.0,33,2,443.44,221.72,297,19,10.53,20.95
C0002,18.0,27,3,341.94,113.98,348,22,13.64,12.71
C0003,51.0,30,31,5671.64,182.96,20,254,12.2,4.13
C0004,45.0,4,7,655.17,93.6,106,101,6.93,9.53
C0005,29.0,42,18,7730.97,429.5,16,106,16.98,3.95
C0006,,14,7,479.75,68.54,73,38,18.42,12.52
C0007,31.0,16,15,1463.33,97.56,74,200,7.5,6.72
C0008,24.0,9,7,495.94,70.85,170,47,14.89,11.74
C0009,48.0,13,2,144.45,72.23,258,17,11.76,24.3
C0010,19.0,10,2,996.68,498.34,66,28,7.14,8.13
C0011,38.0,32,29,3416.42,117.81,5,240,12.08,1.47
C0012,52.0,23,17,1845.67,108.57,59,101,,7.19
C0013,39.0,15,6,861.14,143.52,177,33,18.18,7.19
C0014,39.0,23,19,6685.18,351.85,29,117,16.24,1.75
C0015,48.0,19,11,2996.48,272.41,38,143,7.69,9.18
C0016,52.0,9,9,2784.88,309.43,72,94,9.57,8.63
C0017,40.0,12,12,1420.04,118.34,52,71,16.9,4.52
C0018,21.0,7,14,1987.84,141.99,47,169,8.28,8.97
C0019,41.0,9,5,582.25,116.45,178,74,6.76,7.66
C0020,64.0,15,4,205.35,51.34,62,54,7.41,11.25
C0021,53.0,12,2,285.45,142.72,198,15,13.33,20.34
C0022,18.0,12,6,1195.63,199.27,71,81,7.41,9.94
C0023,18.0,7,6,642.11,107.02,126,71,8.45,
C0024,51.0,26,2,139.38,69.69,323,26,7.69,22.18
C0025,59.0,16,15,2877.95,191.86,34,136,11.03,8.25
C0026,55.0,20,30,7086.11,236.2,25,228,13.16,2.58
C0027,22.0,7,13,1353.2,104.09,26,75,17.33,5.13
C0028,18.0,11,5,531.97,106.39,135,56,8.93,5.28
C0029,29.0,18,2,173.53,86.76,292,26,7.69,15.88
C0030,63.0,5,7,565.89,80.84,161,92,7.61,5.19
C0031,60.0,20,9,1452.44,161.38,88,84,10.71,3.48
C0032,,39,20,5278.28,263.91,28,133,15.04,1.68
C0033,47.0,5,4,446.66,111.66,177,50,8.0,11.62
C0034,57.0,10,8,3232.73,404.09,38,60,13.33,5.18
C0035,34.0,32,31,5763.82,185.93,3,178,17.42,4.9
C0036,18.0,44,31,7883.07,254.29,28,241,12.86,0.26
C0037,41.0,27,1,236.95,236.95,247,5,20.0,12.66
C0038,42.0,7,13,2767.44,212.88,69,109,11.93,6.27
C0039,36.0,20,1,346.24,346.24,361,13,7.69,21.25
C0040,56.0,20,1,464.31,464.31,195,10,10.0,15.65
C0041,18.0,14,38,3980.57,104.75,29,318,11.95,2.98
C0042,58.0,17,13,2482.03,190.93,86,107,12.15,6.73
