ID_Client,Age,Genre_Prefere,Montant_Depense,Nb_Films_Vus,Temps_Visionnage_Minutes,Note_Moyenne,Frequence_Connexion_Jours,Niveau_Engagement,Type_Abonnement,Aime_Film
C0001,43.0,Horreur,14.82,14,1175,4.8,1.0,Moyen,Premium,Oui
C0002,75.0,Action,30.23,13,1388,3.1,10.8,Moyen,Standard,Oui
C0003,,Romance,20.11,15,1236,2.4,6.4,Moyen,Gratuit,Oui
C0004,68.0,Comédie,26.35,22,1896,1.7,3.0,Moyen,Gratuit,Oui
C0005,40.0,Science-Fiction,42.42,12,1553,4.2,1.4,Moyen,Gratuit,Oui
C0006,22.0,Action,24.35,14,1989,1.9,7.2,Moyen,Premium,Oui
C0007,53.0,Comédie,607.89,14,1364,4.1,2.3,Moyen,Gratuit,Oui
C0008,16.0,Romance,40.42,22,3139,1.9,2.3,Moyen,Standard,Non
C0009,53.0,Drame,42.13,11,1128,4.0,3.3,Moyen,Premium,Non
C0010,16.0,Horreur,36.05,8,774,3.2,22.2,Faible,Gratuit,Non
C0011,73.0,Romance,23.36,18,2492,2.2,1.2,Moyen,Standard,Oui
C0012,,Drame,45.65,18,2122,2.3,2.0,Moyen,Premium,Oui
C0013,15.0,Science-Fiction,20.09,15,2182,3.8,5.3,Moyen,Gratuit,Non
C0014,32.0,Comédie,15.9,12,1565,3.4,4.6,Moyen,Standard,Oui
C0015,52.0,Romance,4.17,13,1739,,27.1,Moyen,Standard,Non
C0016,74.0,,15.89,21,2931,2.1,5.1,Moyen,Premium,Oui
C0017,38.0,Romance,15.77,21,2492,3.0,2.5,Moyen,Standard,Oui
C0018,,Science-Fiction,13.23,14,1686,,4.1,Moyen,Standard,Non
C0019,36.0,Comédie,15.18,19,1633,,4.8,Moyen,Standard,Non
C0020,27.0,Comédie,25.41,13,1063,4.4,7.0,Moyen,Standard,Oui
C0021,48.0,Romance,10.23,19,2078,2.7,8.1,Moyen,Gratuit,Oui
C0022,,Romance,63.09,20,2509,,15.9,Moyen,Premium,Oui
C0023,,Action,65.28,18,2162,4.3,9.6,Moyen,Standard,Oui
C0024,57.0,Horreur,91.23,14,1787,2.4,4.4,Moyen,Standard,Oui
C0025,70.0,Horreur,2.61,17,1657,4.5,5.1,Moyen,Gratuit,Oui
C0026,49.0,Action,83.62,15,1256,4.5,3.2,Moyen,Premium,Oui
C0027,72.0,Horreur,71.57,24,3483,5.0,1.3,Moyen,Standard,Oui
C0028,61.0,Comédie,124.94,20,2155,2.0,4.6,Moyen,Gratuit,Non
C0029,36.0,Action,80.65,14,1443,2.4,3.6,Moyen,Standard,Non
C0030,55.0,Drame,14.26,14,1339,1.5,18.5,Moyen,Gratuit,Non
C0031,25.0,Science-Fiction,33.97,18,2176,1.7,2.6,Moyen,Premium,Non
C0032,42.0,Comédie,47.92,14,2074,3.9,4.8,Moyen,Gratuit,Oui
C0033,43.0,Drame,9.54,21,13764,5.0,1.8,Moyen,Standard,Oui
C0034,41.0,Action,106.51,13,1779,5.0,5.1,Moyen,Premium,Oui
C0035,31.0,Action,36.54,18,1583,3.3,8.4,Moyen,Standard,Oui
C0036,19.0,Drame,48.46,17,1522,,3.2,Moyen,Standard,Non
C0037,48.0,Romance,26.99,18,2501,1.7,1.2,Moyen,Standard,Oui
C0038,57.0,Drame,49.14,17,1574,2.9,11.4,Moyen,Standard,Non
C0039,65.0,Horreur,27.61,16,1424,2.6,1.5,Moyen,Standard,Oui
C0040,57.0,Horreur,1368.3,9,1058,2.3,8.1,Faible,Standard,Non
C0041,73.0,Drame,31.39,16,1876,2.4,3.4,Moyen,Gratuit,Oui
C0042,40.0,Action,98.63,16,1937,3.0,1.7,Moyen,Gratuit,Oui
C0043,48.0,Drame,61.67,13,1263,2.2,2.7,Moyen,Gratuit,Non
C0044,65.0,,58.46,19,2635,4.9,7.2,Moyen,Gratuit,Oui
C0045,15.0,Romance,37.22,16,1656,1.7,24.0,Moyen,Gratuit,Non
C0046,51.0,,140.95,19,2837,2.8,14.0,Moyen,Standard,Oui
C0047,25.0,Romance,20.04,12,1722,3.6,6.7,Moyen,Standard,Oui
C0048,75.0,Action,27.53,22,3207,2.7,1.7,Moyen,Premium,Oui
C0049,53.0,Horreur,59.42,13,15698,4.6,3.1,Moyen,Premium,Oui
C0050,38.0,Horreur,24.34,17,2072,4.9,3.1,Moyen,Gratuit,Oui
C0051,57.0,Horreur,26.86,17,2300,,6.3,Moyen,Premium,Non
C0052,65.0,Action,23.22,20,2817,3.6,3.5,Moyen,Gratuit,Oui
C0053,67.0,Drame,59.42,14,1340,2.0,2.0,Moyen,Standard,Oui
C0054,63.0,Drame,35.26,18,1627,1.8,29.8,Moyen,Standard,Oui
C0055,37.0,Drame,132.13,20,2599,3.4,4.3,Moyen,Standard,Oui
C0056,22.0,Drame,20.61,18,11561,3.8,1.1,Moyen,Gratuit,Oui
C0057,75.0,Action,48.0,10,1398,2.9,6.5,Moyen,Gratuit,Oui
C0058,21.0,Action,12.86,12,1709,2.7,2.5,Moyen,Gratuit,Non
C0059,19.0,Romance,24.73,19,2830,2.1,4.3,Moyen,Standard,Non
C0060,39.0,Romance,47.08,18,2107,3.2,1.3,Moyen,Standard,Oui
C0061,67.0,,95.12,15,1249,4.1,1.4,Moyen,Standard,Oui
C0062,54.0,Science-Fiction,92.55,17,2474,2.3,1.2,Moyen,Gratuit,Non
C0063,73.0,Comédie,3.09,15,1682,1.8,1.0,Moyen,Premium,Oui
C0064,51.0,Drame,25.07,18,2647,3.7,8.1,Moyen,Standard,Oui
C0065,32.0,Drame,45.7,16,1637,1.6,5.5,Moyen,Gratuit,Oui
C0066,51.0,Comédie,38.99,14,1432,4.6,5.8,Moyen,Gratuit,Oui
C0067,44.0,,52.77,10,1206,2.9,1.5,Moyen,Gratuit,Oui
C0068,63.0,Romance,29.09,19,2730,,1.6,Moyen,Gratuit,Non
C0069,51.0,Drame,59.74,19,2634,4.4,1.6,Moyen,Gratuit,Oui
C0070,,Romance,38.99,12,1401,3.3,4.4,Moyen,Premium,Oui
C0071,27.0,Action,16.01,13,1909,4.3,6.3,Moyen,Standard,Oui
C0072,29.0,,37.77,21,2519,3.4,11.0,Moyen,Standard,Oui
C0073,42.0,Drame,11.34,10,1417,3.1,11.6,Moyen,Gratuit,Non
C0074,53.0,Science-Fiction,17.6,13,1337,1.9,3.4,Moyen,Gratuit,Non
C0075,33.0,Comédie,25.06,12,1099,4.0,4.2,Moyen,Gratuit,Oui
C0076,28.0,Horreur,70.88,17,2337,4.4,2.5,Moyen,Gratuit,Oui
C0077,18.0,Horreur,79.36,20,1783,4.9,1.2,Moyen,Standard,Oui
C0078,34.0,Action,36.19,14,1316,4.0,5.1,Moyen,Standard,Oui
C0079,39.0,Horreur,95.44,20,2954,3.1,1.0,Moyen,Standard,Oui
C0080,23.0,Action,62.03,16,2371,3.8,8.1,Moyen,Premium,Oui
C0081,65.0,Action,5.74,12,1750,3.4,11.7,Moyen,Gratuit,Non
C0082,53.0,Comédie,20.65,10,822,1.7,4.9,Moyen,Standard,Non
C0083,34.0,Drame,50.41,17,1932,,1.9,Moyen,Standard,Non
C0084,26.0,Horreur,25.02,21,1917,,6.3,Moyen,Gratuit,Non
C0085,42.0,Drame,3.61,15,1972,3.3,4.9,Moyen,Standard,Oui
C0086,,Science-Fiction,29.07,12,1575,4.0,13.0,Moyen,Gratuit,Oui
C0087,69.0,Romance,61.75,21,2208,2.1,3.5,Moyen,Premium,Oui
C0088,15.0,Science-Fiction,7.14,12,1656,2.4,5.8,Moyen,Standard,Oui
C0089,71.0,Horreur,26.78,18,2143,1.6,22.6,Moyen,Gratuit,Oui
C0090,15.0,Romance,100.16,16,13231,3.5,2.5,Moyen,Standard,Oui
C0091,37.0,,57.5,12,1038,3.1,11.1,Moyen,Gratuit,Non
C0092,40.0,Romance,64.89,18,2270,3.8,1.6,Moyen,Standard,Non
C0093,,Action,41.92,10,1255,4.7,3.9,Moyen,Premium,Oui
C0094,59.0,Romance,10.03,15,1591,1.8,5.6,Moyen,Standard,Non
C0095,17.0,Comédie,6.36,14,1688,3.6,8.2,Moyen,Premium,Oui
C0096,59.0,Drame,1147.47,22,1852,2.7,1.5,Moyen,Standard,Oui
C0097,41.0,Science-Fiction,63.11,13,1204,2.1,4.7,Moyen,Standard,Oui
C0098,56.0,Science-Fiction,7.0,17,2492,4.4,11.8,Moyen,Gratuit,Oui
C0099,72.0,Comédie,10.43,13,1647,3.7,4.0,Moyen,Standard,Oui
C0100,48.0,Horreur,18.45,18,1732,3.6,4.4,Moyen,Premium,Oui
C0101,17.0,Horreur,50.29,9,840,2.3,3.2,Faible,Gratuit,Non
C0102,19.0,Horreur,95.53,18,1679,,3.4,Moyen,Gratuit,Non
C0103,66.0,Science-Fiction,36.27,12,1650,,2.8,Moyen,Premium,Non
